i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,,j
X,1,1,0,1,0,0,1,X,X,X,,1
X,0,0,0,X,X,X,0,X,X,1,,1
0,0,X,0,0,X,0,X,X,X,1,,1
0,X,X,1,0,1,1,1,X,X,1,,1
1,1,X,0,0,0,X,1,X,X,1,,1
X,1,0,X,0,1,1,1,X,X,1,,1
0,1,X,X,1,1,0,1,X,X,1,,1
1,X,1,X,1,1,0,0,X,X,1,,1
X,1,0,1,0,X,0,X,X,0,X,,1
1,0,1,1,X,0,X,1,X,X,1,,1
X,X,X,1,1,1,X,0,X,X,0,,1
0,X,X,X,0,X,0,0,X,X,1,,1
X,1,0,1,X,X,X,1,X,X,1,,1
X,X,1,1,X,1,0,0,X,X,1,,1
X,X,0,1,1,1,0,1,X,X,1,,1
1,X,1,X,0,1,1,0,X,0,X,,1
X,1,X,0,X,X,1,X,X,X,0,,1
X,0,X,X,0,X,1,1,X,X,0,,1
0,X,X,0,1,X,X,1,X,X,0,,1
X,1,X,0,X,1,X,1,X,X,0,,1
X,1,X,1,1,0,1,X,X,X,1,,1
1,X,1,X,1,0,1,X,X,X,X,,1
X,X,1,X,1,1,1,1,X,X,X,,1
1,X,0,X,0,X,1,X,X,X,0,,1
X,X,1,0,1,0,X,X,X,X,0,,1
1,0,X,X,1,1,X,0,X,X,1,,1
1,X,0,1,X,X,0,1,X,X,X,,1
0,X,X,X,1,X,0,0,X,X,0,,1
0,0,0,0,X,X,X,X,X,X,1,,1
1,1,1,1,X,0,X,0,X,X,X,,1
1,1,X,X,1,X,X,1,X,X,0,,1
0,1,0,1,X,X,X,X,X,X,1,,1
1,0,1,0,X,1,X,1,X,X,X,,1
X,X,0,0,X,X,0,X,X,1,X,,1
X,0,X,X,X,1,0,0,X,X,0,,1
0,1,X,X,X,0,0,X,X,X,0,,1
X,0,X,0,1,X,1,X,0,0,X,,1
X,1,1,1,X,1,X,1,X,X,X,,1
X,X,X,X,0,0,0,X,X,X,1,,1
X,1,1,X,0,1,X,0,0,X,X,,1
0,1,X,1,X,1,X,0,X,X,X,,1
1,X,X,X,0,1,0,1,X,X,X,,1
1,X,X,0,X,1,1,0,0,X,X,,1
1,0,X,0,X,0,X,0,X,X,X,,1
X,0,X,1,1,X,X,X,X,X,0,,1
1,X,X,X,X,0,0,0,X,X,0,,1
X,X,0,X,1,1,1,0,X,X,X,,1
X,X,X,0,0,1,X,0,X,X,0,,1
X,1,X,X,1,X,X,X,X,0,0,,1
0,0,X,1,X,X,X,X,X,X,0,,1
X,X,X,X,0,0,1,X,X,X,0,,1
X,X,X,X,X,X,X,X,1,X,1,,1
0,X,X,X,X,X,X,X,1,X,X,,1
X,X,X,X,X,X,X,1,X,0,0,,1
X,X,X,X,X,X,X,X,1,1,X,,1
X,X,X,X,X,X,X,X,X,1,1,,1
0,X,0,X,1,0,1,X,X,X,X,,1
1,X,0,0,X,0,0,0,X,X,X,,1
0,X,1,0,X,0,0,X,X,X,X,,1
1,0,0,X,0,0,X,0,X,X,X,,1
0,0,1,X,0,0,X,X,X,X,X,,1
